I+1:1579TEM CCODE,BARCODE,ITEM DESCRIPTION,Sub Category,Main Category,item catergory,unit of measure
CLE-BGS-EAC,,Betasan Gel Sanitizer Refills,consumables,Consumables,external,ea
CLE-TPR-EAC,,Tad Paper Refil,consumables,Consumables,external,ea
CLE-VIB-EAC,,Viper Boards,consumables,Consumables,external,ea
MIS-BLI-EAC,,Braai Lighter,consumables,Consumables,external,ea
CEX CCD-EAC,14030,Cheese Cake Dessert,exotic cakes,exotic cakes,internal,ea
CEX- MCP-EAC,14091,Moist Chocolate Pudding,exotic cakes,exotic cakes,internal,ea
CEX- MDB-EAC,,Buttercream 6 Layer Drip Cake with toppings,exotic cakes,exotic cakes,internal,ea
CEX- NBS-EAC,,New York Blueberry Cheese Cake Slice,exotic cakes,exotic cakes,internal,ea
CEX -NYW-EAC,30665,New York Baked Cheese Cake Round,exotic cakes,exotic cakes,internal,ea
CEX-AMB-EAC,14001,American Brownie,exotic cakes,exotic cakes,internal,ea
CEX-APP-EAC,14025,Apple Tart,exotic cakes,exotic cakes,internal,ea
CEX-ATS-EAC,,Apple Tartlet,exotic cakes,exotic cakes,internal,ea
CEX-BAR-012,10001,BD Bar One Square 12,exotic cakes,exotic cakes,internal,ea
CEX-BAR-014,10002,BD Bar One Square 14,exotic cakes,exotic cakes,internal,ea
CEX-BAR-016,10003,BD Bar One Square 16,exotic cakes,exotic cakes,internal,ea
CEX-BAR-018,,BD Bar One Square 18,exotic cakes,exotic cakes,internal,ea
CEX-BAR-020,,BD Bar One Square 20,exotic cakes,exotic cakes,internal,ea
CEX-BCC-EAC,14027,Baked Citrus Cheese Cake,exotic cakes,exotic cakes,internal,ea
CEX-BOL-EAC,4005,Bar One Log,exotic cakes,exotic cakes,internal,ea
CEX-BOM-EAC,14065,Mothers Day Bar One Round with rose and leaves,exotic cakes,exotic cakes,internal,ea
CEX-BOR-EAC,14003,Bar One Round,exotic cakes,exotic cakes,internal,ea
CEX-BOS-EAC,4008,Bar One Slice,exotic cakes,exotic cakes,internal,ea
CEX-BRC-EAC,14028,Baked Red Velvet Cheese Cake,exotic cakes,exotic cakes,internal,ea
CEX-BVC-EAC,,Baked Vanilla Cheese Cake,exotic cakes,exotic cakes,internal,ea
CEX-CAC-012,,BD 12 Carrot Cake square wit cream cheese,exotic cakes,exotic cakes,internal,ea
CEX-CAC-014,,BD 14' Carrot cake square with cream cheese,exotic cakes,exotic cakes,internal,ea
CEX-CAC-016,,BD 16' Carrot Cake Square with cream cheese,exotic cakes,exotic cakes,internal,ea
CEX-CAC-018,,BD 18 Carrot Cake Square with cream cheese,exotic cakes,exotic cakes,internal,ea
CEX-CAC-020,,BD 20 Carrot Cake Square with cream cheese,exotic cakes,exotic cakes,internal,ea
CEX-CAC-EAC,,Carrot Cake Cupcake,exotic cakes,exotic cakes,internal,ea
CEX-CBD-EAC,,Chocolate Bar One 6 Layer Drip Cake,exotic cakes,exotic cakes,internal,ea
CEX-CBO-EAC,14006,Christmas Bar One Round,exotic cakes,exotic cakes,internal,ea
CEX-CCC-EAC,14033,Baked Choclate Cheese Cake,exotic cakes,exotic cakes,internal,ea
CEX-CCP-6S,140295,Chocolate Cake Pops (6s),exotic cakes,exotic cakes,internal,ea
CEX-CCS-EAC,14007,Cheese Cake Slice,exotic cakes,exotic cakes,internal,ea
CEX-CCT-EAC,14008,Cheese Cake Tart,exotic cakes,exotic cakes,internal,ea
CEX-CEG-EAC,14035,Caramel Exotic Gateaux,exotic cakes,exotic cakes,internal,ea
CEX-CFD-EAC,,Chocolate Fererro 6 Layer Drip Cake,exotic cakes,exotic cakes,internal,ea
CEX-CFE-EAC,14010,Christmas Ferrero Cake,exotic cakes,exotic cakes,internal,ea
CEX-CHC-EAC,14036,Chocolate Cheese Cake Cup,exotic cakes,exotic cakes,internal,ea
