TABLE_NAME COLUMN_NAME DATA_TYPE IS_NULLABLE
---------- ----------- --------- -----------
BOMHeader BOMID int NO
BOMHeader ProductID int NO
BOMHeader VersionNo int NO
BOMHeader BatchYieldQty decimal NO
BOMHeader YieldUoM nvarchar NO
BOMHeader EffectiveFrom date NO
BOMHeader EffectiveTo date YES
BOMHeader IsActive bit NO
BOMHeader CreatedDate datetime2 NO
InternalOrderHeader InternalOrderID int NO
InternalOrderHeader InternalOrderNo nvarchar NO
InternalOrderHeader FromLocationID int NO
InternalOrderHeader ToLocationID int NO
InternalOrderHeader RequestedBy int YES
InternalOrderHeader RequestedDate datetime2 NO
InternalOrderHeader Status nvarchar NO
InternalOrderHeader Notes nvarchar YES
ProductRecipe ProductID int NO
ProductRecipe RecipeTemplateID int NO
ProductRecipe VariantID int YES
ProductRecipe CreatedDate datetime NO
ProductRecipe CreatedBy int YES
Products ProductID int NO
Products ProductCode nvarchar NO
Products ProductName nvarchar NO
Products CategoryID int NO
Products SubcategoryID int YES
Products ItemType nvarchar NO
Products BaseUoM nvarchar NO
Products Dimensions nvarchar YES
Products IsActive bit NO
Products CreatedDate datetime2 NO
Products ProductImage varbinary YES
Products SKU nvarchar YES
Products LastPaidPrice decimal YES
Products AverageCost decimal YES
RawMaterials MaterialID int NO
RawMaterials MaterialCode nvarchar NO
RawMaterials MaterialName nvarchar NO
RawMaterials Description nvarchar YES
RawMaterials CategoryID int NO
RawMaterials BaseUnit nvarchar NO
RawMaterials CurrentStock decimal NO
RawMaterials ReorderLevel decimal NO
RawMaterials MaxStockLevel decimal NO
RawMaterials StandardCost decimal NO
RawMaterials LastCost decimal NO
RawMaterials AverageCost decimal NO
RawMaterials PreferredSupplierID int YES
RawMaterials IsActive bit NO
RawMaterials CreatedDate datetime2 NO
RawMaterials CreatedBy int NO
RawMaterials ModifiedDate datetime2 YES
RawMaterials ModifiedBy int YES
RawMaterials MaterialType nvarchar NO
RawMaterials UnitOfMeasure nvarchar NO
RawMaterials UoMID int YES
RawMaterials LastPaidPrice decimal YES
RecipeNode NodeID int NO
RecipeNode ProductID int NO
RecipeNode ParentNodeID int YES
RecipeNode Level int NO
RecipeNode NodeKind varchar NO
RecipeNode ComponentID int YES
RecipeNode ItemType varchar YES
RecipeNode MaterialID int YES
RecipeNode SubAssemblyProductID int YES
RecipeNode ItemName nvarchar YES
RecipeNode Qty decimal YES
RecipeNode UoMID int YES
RecipeNode Notes nvarchar YES
RecipeNode SortOrder int NO
RecipeNode CreatedDate datetime NO
RecipeNode ModifiedDate datetime YES
Retail_Product ProductID int NO
Retail_Product SKU varchar NO
Retail_Product Name varchar NO
Retail_Product Category nvarchar NO
Retail_Product Description varchar YES
Retail_Product IsActive bit NO
Retail_Product CreatedAt datetime2 NO
Retail_Product UpdatedAt datetime2 NO
Retail_Product Code nvarchar YES
Retail_Product Subcategory nvarchar NO
Retail_Stock StockID int NO
Retail_Stock VariantID int NO
Retail_Stock BranchID int YES
Retail_Stock QtyOnHand decimal NO
Retail_Stock ReorderPoint decimal NO
Retail_Stock Location varchar YES
Retail_Stock LocationKey varchar NO
Retail_Stock BranchKey int NO
Retail_Stock UpdatedAt datetime2 NO
Retail_Stock AverageCost decimal YES
Retail_Variant VariantID int NO
Retail_Variant ProductID int NO
Retail_Variant Barcode varchar YES
Retail_Variant AttributesJson nvarchar YES
Retail_Variant IsActive bit NO
Retail_Variant CreatedAt datetime2 NO
Retail_Variant UpdatedAt datetime2 NO
UoM UoMID int NO
UoM UoMCode varchar NO
UoM UoMName nvarchar NO

(104 rows affected)
