I+1:1579TEM CCODE,BARCODE,ITEM DESCRIPTION,Sub Category,Main Category,item catergory,unit of measure
DRI-AME-250ML,,Americano Short,drink,Beverages ,internal,ea
DRI-AME-350ML,,Americano Tall,drink,Beverages ,internal,ea
DRI-CAF-EAC,,Caramel Freezo,drink,Beverages ,internal,ea
DRI-CFR=EAC,,Coffee Freezo,drink,Beverages ,internal,ea
DRI-CHA-350ML,,Chai Latte Short,drink,Beverages ,internal,ea
DRI-CHF-250ML,,Chocolate Freezo Short,drink,Beverages ,internal,ea
DRI-CHF-350ML,,Chocolate Freezo Tall,drink,Beverages ,internal,ea
DRI-CHL-EACH,,Chai Latte Tall,drink,Beverages ,internal,ea
DRI-COR-250ML,,Cortado Short,drink,Beverages ,internal,ea
DRI-ESS-250ML,,Espresso Short,drink,Beverages ,internal,ea
DRI-ESS-350ML,,Espresso Tall,drink,Beverages ,internal,ea
DRI-FLW-250ML,,Flat White Short,drink,Beverages ,internal,ea
DRI-FLW-350ML,,Flat White Tall,drink,Beverages ,internal,ea
DRI-FRT-250ML,,Five Roses Tea Short,drink,Beverages ,internal,ea
DRI-FRT-350ML,,Five Roses Tea Tall,drink,Beverages ,internal,ea
DRI-HAF-EAC,,Hazelnut Freezo,drink,Beverages ,internal,ea
DRI-HOC-250ML,,Hot Chocolate Short,drink,Beverages ,internal,ea
DRI-HOC-350ML,,Hot Chocolate Tall,drink,Beverages ,internal,ea
DRI-HWT-EAC,,Tall White Hot Chocolate,drink,Beverages ,internal,ea
DRI-IAM-EAC,,Iced Americano,drink,Beverages ,internal,ea
DRI-ICC-250ML,,Iced Cappuccino Short,drink,Beverages ,internal,ea
DRI-ICC-350ML,,Iced Cappuccino Tall,drink,Beverages ,internal,ea
DRI-ICF-250ML,,Iced Coffee Freezo Short,drink,Beverages ,internal,ea
DRI-ICF-350ML,,Iced Coffee Freezo Tall,drink,Beverages ,internal,ea
DRI-ICF-KGR,,Instabean Coffee Freezo,drink,Beverages ,internal,ea
DRI-ICL-250ML,,Iced Chai Latte Short,drink,Beverages ,internal,ea
DRI-ICL-350ML,,Iced Chai Latte Tall,drink,Beverages ,internal,ea
DRI-ILA-EAC,,Iced Latte,drink,Beverages ,internal,ea
DRI-IMO-EAC,,Iced Mocha,drink,Beverages ,internal,ea
DRI-IWM-EAC,,Iced White Mocha,drink,Beverages ,internal,ea
DRI-LAT-350ML,,Latte Tall,drink,Beverages ,internal,ea
DRI-LATT-250ML,,Latte Short,drink,Beverages ,internal,ea
DRI-MAC-250ML,,Macchiato Short,drink,Beverages ,internal,ea
DRI-MAC-350ML,,Macchiato Tall,drink,Beverages ,internal,ea
DRI-MBO-EAC,,OD Bombay Crush,drink,Beverages ,internal,ea
DRI-MBU-EAC,,OD Bubblegum Milkshake,drink,Beverages ,internal,ea
DRI-MCH-EAC,,OD Chocolate Milkshake,drink,Beverages ,internal,ea
DRI-MCO-EAC,,OD Coffee Milkshake,drink,Beverages ,internal,ea
DRI-MLI-EAC,,OD Lime Milkshake,drink,Beverages ,internal,ea
DRI-MOC-250ML,,Mocha Short,drink,Beverages ,internal,ea
DRI-MOC-350ML,,Mocha Tall,drink,Beverages ,internal,ea
DRI-MOF-250ML,,Mocha Freezo Short,drink,Beverages ,internal,ea
DRI-MOF-350ML,,Mocha Freezo Tall,drink,Beverages ,internal,ea
DRI-MSC-EAC,,OD Salted Caramel Milkshake,drink,Beverages ,internal,ea
DRI-MSC-KGR,,Malora Spicey Chai Latte,drink,Beverages ,internal,ea
DRI-MST-EAC,,OD Strawberry Milkshake,drink,Beverages ,internal,ea
DRI-MVA-EAC,,OD Vanilla Milkshake,drink,Beverages ,internal,ea
DRI-OBS-EAC,,OD Berry Smoothie,drink,Beverages ,internal,ea
DRI-OMS-EAC,,OD Mango Smoothie,drink,Beverages ,internal,ea
DRI-OOM-EAC,,OD Oreo Milkshake,drink,Beverages ,internal,ea
DRI-OSP-EAC,,OD Peanut Butter Smoothie,drink,Beverages ,internal,ea
DRI-ROB-250ML,,Rooibos Tea Short,drink,Beverages ,internal,ea
DRI-SWM-250ML,,Short White Mocha,drink,Beverages ,internal,ea
DRI-TWM-350ML,,Tall White Mocha,drink,Beverages ,internal,ea
DRI-VAF-EAC,,Vanilla Freezo,drink,Beverages ,internal,ea
DRI-WCF-EAC,,White Chocolate Freezo,drink,Beverages ,internal,ea
DRI-WHS-EAC,,Short White Hot Chocolate,drink,Beverages ,internal,ea
