"ItemCode","Barcode","ItemDescription","Category","ItemCategory","UnitOfMeasure","SellingPrice","CostPrice","IsRetail"
"BIS- CHC-EAC","","Biscuit Choc Chip","biscuit","internal","ea","85.00","0.00","True"
"BIS-ABB-EAC","16001.0","Biscuit Assorted Pure Butter","biscuit","internal","ea","0.00","0.00","True"
"BIS-BCV-EAC","","Biscuit Choc Vanilla 300g","biscuit","internal","ea","85.00","0.00","True"
"BIS-BUB-EAC","14071.0","Biscuit Butter Biscuit","biscuits","internal","ea","0.00","0.00","True"
"BIS-CCC-EAC","","Biscuit Choc Chip Cookie","biscuit","internal","ea","85.00","0.00","True"
"BIS-CHD-EAC","14079.0","Biscuit Choc Delights 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-CJN-EAC","14067.0","Biscuit Jam Nest 300G","biscuits","internal","ea","85.00","43.48","True"
"BIS-COC-EAC","","Biscuit Coconut","biscuit","internal","ea","85.00","0.00","True"
"BIS-CRU-EACH","14099.0","GLUTEN FREE RUSKS","biscuits","internal","ea","0.00","0.00","True"
"BIS-CUS-EAC","16201.0","Biscuit Custard","biscuit","internal","ea","85.00","0.00","True"
"BIS-DAT-EAC","","Biscuit Date Roll 300G","biscuit","internal","ea","100.00","0.00","True"
"BIS-DEB-EAC","14073.0","Designer Biscuits 300G","biscuits","internal","ea","100.00","0.00","True"
"BIS-FEB-EAC","16200.0","Biscuit Fego 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-FLF-EAC","14068.0","Biscuit choc Fingers 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-HSB-EAC","14076.0","Biscuit Horse Shoe 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-NAK-EAC","16077.0","Biscuit Naan Katai 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-PAO-EAC","16203.0","Biscuit Pcn & almnd 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-PNS-EAC","14069.0","Biscuit Pecan Nut Squares 300G","biscuit","internal","ea","85.00","0.00","True"
"BIS-RMC-EAC","16002.0","Biscuit Romany Creams","biscuit","internal","ea","0.00","0.00","True"
"BIS-ROC-EAC","14070.0","Biscuit Romany Creams","biscuit","internal","ea","0.00","0.00","True"
"BIS-SBB-EAC","16006.0","Biscuit Short Bread","biscuits","internal","ea","0.00","0.00","True"
"CAN-CMS-EAC","","Candles 10s- Silver","candle","external","ea","20.00","0.00","True"
"CAN-DOU-010","80351.0","Candle Numeral Double","candle","external","ea","0.00","0.00","True"
"CAN-DOU-080","8034.0","Candle Numeral Double","candle","external","ea","0.00","0.00","True"
"CAN-GOL-000","","Candle Numeral 0 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-001","","Candle Numeral 1 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-002","","Candle Numeral 2 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-003","","Candle Numeral 3 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-004","","Candle Numeral 4 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-005","","Candle Numeral 5 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-006","","Candle Numeral 6 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-007","","Candle Numeral 7 Gold","candle","external","ea","22.00","0.00","True"
