TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
DRI-AME-250ML;;Americano Short;drink;Beverages ;internal;ea;pos
DRI-AME-350ML;;Americano Tall;drink;Beverages ;internal;ea;pos
DRI-CAF-EAC;;Caramel Freezo;drink;Beverages ;internal;ea;pos
DRI-CFR=EAC;;Coffee Freezo;drink;Beverages ;internal;ea;pos
DRI-CHA-350ML;;Chai Latte Short;drink;Beverages ;internal;ea;pos
DRI-CHF-250ML;;Chocolate Freezo Short;drink;Beverages ;internal;ea;pos
DRI-CHF-350ML;;Chocolate Freezo Tall;drink;Beverages ;internal;ea;pos
DRI-CHL-EACH;;Chai Latte Tall;drink;Beverages ;internal;ea;pos
DRI-COR-250ML;;Cortado Short;drink;Beverages ;internal;ea;pos
DRI-ESS-250ML;;Espresso Short;drink;Beverages ;internal;ea;pos
DRI-ESS-350ML;;Espresso Tall;drink;Beverages ;internal;ea;pos
DRI-FLW-250ML;;Flat White Short;drink;Beverages ;internal;ea;pos
DRI-FLW-350ML;;Flat White Tall;drink;Beverages ;internal;ea;pos
DRI-FRT-250ML;;Five Roses Tea Short;drink;Beverages ;internal;ea;pos
DRI-FRT-350ML;;Five Roses Tea Tall;drink;Beverages ;internal;ea;pos
DRI-HAF-EAC;;Hazelnut Freezo;drink;Beverages ;internal;ea;pos
DRI-HOC-250ML;;Hot Chocolate Short;drink;Beverages ;internal;ea;pos
DRI-HOC-350ML;;Hot Chocolate Tall;drink;Beverages ;internal;ea;pos
DRI-HWT-EAC;;Tall White Hot Chocolate;drink;Beverages ;internal;ea;pos
DRI-IAM-EAC;;Iced Americano;drink;Beverages ;internal;ea;pos
DRI-ICC-250ML;;Iced Cappuccino Short;drink;Beverages ;internal;ea;pos
DRI-ICC-350ML;;Iced Cappuccino Tall;drink;Beverages ;internal;ea;pos
DRI-ICF-250ML;;Iced Coffee Freezo Short;drink;Beverages ;internal;ea;pos
DRI-ICF-350ML;;Iced Coffee Freezo Tall;drink;Beverages ;internal;ea;pos
DRI-ICF-KGR;;Instabean Coffee Freezo;drink;Beverages ;internal;ea;pos
DRI-ICL-250ML;;Iced Chai Latte Short;drink;Beverages ;internal;ea;pos
