Item Code,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,Ingredients,Item Description,Whse,Cost,Incl Price,
BD-BAR-020,,BD Bar One Square 20,exotic,internal,,BD Bar One Square 20,OD200,0.00,"1,800.00",
BIS- CHC-EAC,0,Biscuit Choc Chip,biscuit,internal,,Biscuit Choc Chip,OD200,0.00,80.00,
BIS-BCV-EAC,0,Biscuit Choc Vanilla 300g,biscuit,internal,,Biscuit Choc Vanilla 300g,OD200,0.00,70.00,
BIS-CCC-EAC,0,Biscuit Choc Chip Cookie,biscuit,internal,,Biscuit Choc Chip Cookie,OD200,0.00,70.00,
BIS-CHD-EAC,14079,Biscuit Choc Delights 300G,biscuit,internal,,Biscuit Choc Delights 300G,OD200,0.00,95.00,
BIS-CJN-EAC,14067,Biscuit Jam Nest 300G,biscuits,internal,,Biscuit Jam Nest 300G,OD200,0.00,85.00,
BIS-COC-EAC,0,Biscuit Coconut,biscuit,internal,,Biscuit Coconut,OD200,0.00,70.00,
BIS-CUS-EAC,16201,Biscuit Custard,biscuit,internal,,Biscuit Custard,OD200,0.00,85.00,
BIS-DAT-EAC,0,Biscuit Date Roll 300G,biscuit,internal,,Biscuit Date Roll 300G,OD200,0.00,95.00,
BIS-DEB-EAC,14073,Designer Biscuits 300G,biscuits,internal,,Designer Biscuits 300G,OD200,0.00,95.00,
BIS-FEB-EAC,16200,Biscuit Fego 300G,biscuit,internal,,Biscuit Fego 300G,OD200,0.00,85.00,
BIS-FLF-EAC,14068,Biscuit choc Fingers 300G,biscuit,internal,,Biscuit choc Fingers 300G,OD200,0.00,95.00,
BIS-HSB-EAC,14076,Biscuit Horse Shoe 300G,biscuit,internal,,Biscuit Horse Shoe 300G,OD200,0.00,85.00,
BIS-NAK-EAC,16077,Biscuit Naan Katai 300G,biscuit,internal,,Biscuit Naan Katai 300G,OD200,0.00,85.00,
BIS-PAO-EAC,16203,Biscuit Pcn & almnd 300G,biscuit,internal,,Biscuit Pcn & almnd 300G,OD200,0.00,85.00,
BIS-PNS-EAC,14069,Biscuit Pecan Nut Squares 300G,biscuit,internal,,Biscuit Pecan Nut Squares 300G,OD200,0.00,85.00,
CAN-CMS-EAC,0,Candles 10s- Silver,candle,external,,Candles 10s- Silver,OD200,9.13,20.00,
