TABLE_NAME COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
---------- ----------- --------- ------------------------ -----------
AdhocInvoiceItems ItemID int NULL NO
AdhocInvoiceItems InvoiceID int NULL NO
AdhocInvoiceItems ProductID int NULL YES
AdhocInvoiceItems Description nvarchar 500 NO
AdhocInvoiceItems Quantity decimal NULL NO
AdhocInvoiceItems UnitPrice decimal NULL NO
AdhocInvoiceItems LineTotal decimal NULL NO
AdhocInvoiceItems TaxRate decimal NULL NO
AdhocInvoices InvoiceID int NULL NO
AdhocInvoices InvoiceNumber nvarchar 50 NO
AdhocInvoices InvoiceDate datetime NULL NO
AdhocInvoices CustomerID int NULL YES
AdhocInvoices CustomerName nvarchar 200 NO
AdhocInvoices CustomerPhone nvarchar 50 YES
AdhocInvoices CustomerEmail nvarchar 200 YES
AdhocInvoices AccountNumber nvarchar 50 YES
AdhocInvoices SubTotal decimal NULL NO
AdhocInvoices TaxAmount decimal NULL NO
AdhocInvoices TotalAmount decimal NULL NO
AdhocInvoices AmountPaid decimal NULL NO
AdhocInvoices BalanceDue decimal NULL NO
AdhocInvoices InvoiceStatus nvarchar 50 NO
AdhocInvoices DueDate datetime NULL YES
AdhocInvoices Notes nvarchar 1000 YES
AdhocInvoices BranchID int NULL NO
AdhocInvoices CreatedBy nvarchar 100 YES
AdhocInvoices CreatedDate datetime NULL NO
AdhocInvoices LastModifiedBy nvarchar 100 YES
AdhocInvoices LastModifiedDate datetime NULL YES
AdhocInvoices JournalEntryNumber nvarchar 50 YES
AP_Beneficiaries BeneficiaryID int NULL NO
AP_Beneficiaries BeneficiaryName nvarchar 200 NO
AP_Beneficiaries BeneficiaryType nvarchar 50 YES
AP_Beneficiaries RegistrationNumber nvarchar 50 YES
AP_Beneficiaries TaxNumber nvarchar 50 YES
AP_Beneficiaries BankName nvarchar 100 YES
AP_Beneficiaries BranchCode nvarchar 20 YES
AP_Beneficiaries AccountNumber nvarchar 50 YES
AP_Beneficiaries AccountType nvarchar 20 YES
AP_Beneficiaries AccountHolderName nvarchar 200 YES
AP_Beneficiaries ContactPerson nvarchar 100 YES
AP_Beneficiaries Email nvarchar 100 YES
AP_Beneficiaries Phone nvarchar 50 YES
AP_Beneficiaries Mobile nvarchar 50 YES
AP_Beneficiaries Address nvarchar 500 YES
AP_Beneficiaries DefaultCategoryID int NULL YES
AP_Beneficiaries PaymentTerms int NULL YES
AP_Beneficiaries IsActive bit NULL NO
AP_Beneficiaries CreatedBy nvarchar 100 YES
AP_Beneficiaries CreatedDate datetime NULL YES
AP_Beneficiaries ModifiedBy nvarchar 100 YES
AP_Beneficiaries ModifiedDate datetime NULL YES
AP_Categories CategoryID int NULL NO
AP_Categories CategoryName nvarchar 100 NO
AP_Categories Description nvarchar 500 YES
AP_Categories GLAccountCode nvarchar 20 YES
AP_Categories IsActive bit NULL NO
AP_Categories CreatedBy nvarchar 100 YES
AP_Categories CreatedDate datetime NULL YES
AP_Categories ModifiedBy nvarchar 100 YES
AP_Categories ModifiedDate datetime NULL YES
AP_GLPostings PostingID int NULL NO
AP_GLPostings InvoiceID int NULL YES
AP_GLPostings PaymentBatchID int NULL YES
AP_GLPostings PostingDate date NULL NO
AP_GLPostings Description nvarchar 500 YES
AP_GLPostings DebitAccount nvarchar 20 NO
AP_GLPostings CreditAccount nvarchar 20 NO
AP_GLPostings Amount decimal NULL NO
AP_GLPostings JournalEntryID int NULL YES
AP_GLPostings CreatedBy nvarchar 100 YES
AP_GLPostings CreatedDate datetime NULL YES
AP_InvoiceBatchMapping MappingID int NULL NO
AP_InvoiceBatchMapping InvoiceID int NULL NO
AP_InvoiceBatchMapping FNB_BatchID int NULL NO
AP_InvoiceBatchMapping FNB_TransactionID int NULL YES
AP_InvoiceBatchMapping AmountPaid decimal NULL NO
AP_InvoiceBatchMapping AddedDate datetime NULL YES
AP_InvoiceBatchMapping AddedBy int NULL NO
AP_Invoices InvoiceID int NULL NO
AP_Invoices InvoiceNumber nvarchar 50 NO
AP_Invoices BeneficiaryID int NULL NO
AP_Invoices CategoryID int NULL NO
AP_Invoices InvoiceDate date NULL NO
AP_Invoices DueDate date NULL NO
AP_Invoices Amount decimal NULL NO
AP_Invoices TaxAmount decimal NULL YES
AP_Invoices TotalAmount decimal NULL YES
AP_Invoices Description nvarchar 500 YES
AP_Invoices Reference nvarchar 100 YES
AP_Invoices Status nvarchar 20 NO
AP_Invoices PaymentBatchID int NULL YES
AP_Invoices PaymentDate datetime NULL YES
AP_Invoices StatementTransactionID int NULL YES
AP_Invoices IsReconciled bit NULL YES
AP_Invoices ReconciledDate datetime NULL YES
AP_Invoices ReconciledBy nvarchar 100 YES
AP_Invoices CreatedBy nvarchar 100 YES
AP_Invoices CreatedDate datetime NULL YES
AP_Invoices ModifiedBy nvarchar 100 YES
AP_Invoices ModifiedDate datetime NULL YES
AP_Invoices BranchID int NULL NO
AP_Invoices LedgerAccountCode nvarchar 20 YES
AP_Invoices AccountID int NULL YES
AP_PaymentBatches BatchID int NULL NO
AP_PaymentBatches BatchNumber nvarchar 50 NO
AP_PaymentBatches BatchDate datetime NULL NO
AP_PaymentBatches TotalInvoices int NULL NO
AP_PaymentBatches TotalAmount decimal NULL NO
AP_PaymentBatches InstructionID nvarchar 100 YES
AP_PaymentBatches MessageID nvarchar 100 YES
AP_PaymentBatches Status nvarchar 20 NO
AP_PaymentBatches StatusMessage nvarchar 500 YES
AP_PaymentBatches FNBRequestJSON nvarchar -1 YES
AP_PaymentBatches FNBResponseJSON nvarchar -1 YES
AP_PaymentBatches SubmittedDate datetime NULL YES
AP_PaymentBatches CompletedDate datetime NULL YES
AP_PaymentBatches CreatedBy nvarchar 100 YES
