TABLE_NAME|COLUMN_NAME|DATA_TYPE|IS_NULLABLE|CHARACTER_MAXIMUM_LENGTH
----------|-----------|---------|-----------|------------------------
Accessories|AccessoryID|int|NO|NULL
Accessories|AccessoryCode|varchar|NO|50
Accessories|AccessoryName|nvarchar|NO|100
Accessories|DefaultUoMID|int|YES|NULL
Accessories|Notes|nvarchar|YES|255
Accessories|IsActive|bit|NO|NULL
Accessories|CreatedDate|datetime|NO|NULL
Accessories|CurrentCost|decimal|YES|NULL
Accessories|LastPaidCost|decimal|YES|NULL
Accessories|LastPurchaseDate|datetime|YES|NULL
Accessories|LastSupplierID|int|YES|NULL
Accessories|UoMID|int|YES|NULL
Accounts|AccountID|int|NO|NULL
Accounts|AccountCode|varchar|NO|32
Accounts|AccountName|varchar|NO|128
Accounts|AccountType|varchar|NO|32
Accounts|ParentAccountID|int|YES|NULL
Accounts|IsActive|bit|NO|NULL
AccountsPayable|PayableID|int|NO|NULL
AccountsPayable|InvoiceNumber|nvarchar|NO|50
AccountsPayable|SupplierID|int|NO|NULL
AccountsPayable|SupplierName|nvarchar|NO|255
AccountsPayable|GLAccountCode|nvarchar|NO|20
AccountsPayable|InvoiceDate|date|NO|NULL
AccountsPayable|DueDate|date|NO|NULL
AccountsPayable|Amount|decimal|NO|NULL
AccountsPayable|AmountPaid|decimal|YES|NULL
AccountsPayable|Description|nvarchar|YES|500
AccountsPayable|IsPaid|bit|YES|NULL
AccountsPayable|PaidDate|date|YES|NULL
AccountsPayable|Status|nvarchar|YES|20
AccountsPayable|CreatedBy|int|NO|NULL
AccountsPayable|CreatedDate|datetime|YES|NULL
AccountsPayable|ModifiedBy|int|YES|NULL
AccountsPayable|ModifiedDate|datetime|YES|NULL
AITestingLog|LogID|int|NO|NULL
AITestingLog|Timestamp|datetime2|YES|NULL
AITestingLog|Message|nvarchar|NO|-1
AITestingLog|LogType|nvarchar|YES|50
AITestingLog|Severity|nvarchar|YES|20
APInvoices|InvoiceID|int|NO|NULL
APInvoices|InvoiceNumber|nvarchar|NO|50
APInvoices|SupplierID|int|NO|NULL
APInvoices|GLAccountCode|nvarchar|NO|20
APInvoices|InvoiceDate|date|NO|NULL
APInvoices|DueDate|date|NO|NULL
APInvoices|Amount|decimal|NO|NULL
APInvoices|Description|nvarchar|YES|500
APInvoices|IsPaid|bit|YES|NULL
APInvoices|PaidDate|date|YES|NULL
APInvoices|CreatedBy|int|NO|NULL
APInvoices|CreatedDate|datetime|YES|NULL
APInvoices|ModifiedBy|int|YES|NULL
APInvoices|ModifiedDate|datetime|YES|NULL
AttributeDefinition|AttributeID|int|NO|NULL
AttributeDefinition|AttributeName|nvarchar|NO|100
AttributeDefinition|DataType|varchar|NO|20
AttributeDefinition|IsActive|bit|NO|NULL
AttributeDefinition|CreatedDate|datetime|NO|NULL
AuditLog|AuditID|int|NO|NULL
AuditLog|UserID|int|YES|NULL
AuditLog|Action|nvarchar|NO|100
AuditLog|TableName|nvarchar|YES|128
AuditLog|RecordID|nvarchar|YES|100
AuditLog|Details|nvarchar|YES|-1
AuditLog|Timestamp|datetime2|NO|NULL
AuditLog|IPAddress|nvarchar|YES|45
AutoFixHistory|FixID|int|NO|NULL
AutoFixHistory|Timestamp|datetime2|YES|NULL
AutoFixHistory|FormName|nvarchar|NO|100
AutoFixHistory|IssueType|nvarchar|NO|100
AutoFixHistory|FixApplied|nvarchar|NO|-1
AutoFixHistory|Success|bit|YES|NULL
AutoFixHistory|ErrorMessage|nvarchar|YES|-1
BackgroundServiceStatus|ServiceID|int|NO|NULL
BackgroundServiceStatus|ServiceName|nvarchar|NO|100
BackgroundServiceStatus|LastRun|datetime2|YES|NULL
BackgroundServiceStatus|NextRun|datetime2|YES|NULL
BackgroundServiceStatus|Status|nvarchar|YES|20
BackgroundServiceStatus|RunCount|int|YES|NULL
BackgroundServiceStatus|ErrorCount|int|YES|NULL
BackgroundServiceStatus|LastError|nvarchar|YES|-1
BankAccounts|BankAccountID|int|NO|NULL
BankAccounts|AccountName|nvarchar|NO|100
BankAccounts|BankName|nvarchar|YES|100
BankAccounts|AccountNumber|nvarchar|NO|50
BankAccounts|CurrentBalance|decimal|YES|NULL
BankAccounts|BranchID|int|YES|NULL
BankAccounts|IsActive|bit|YES|NULL
BankAccounts|CreatedDate|datetime2|YES|NULL
BOM_AuditTrail|AuditID|int|NO|NULL
BOM_AuditTrail|BOMID|int|NO|NULL
BOM_AuditTrail|EventType|varchar|NO|20
BOM_AuditTrail|EventAt|datetime|NO|NULL
BOM_AuditTrail|ActorUserID|int|NO|NULL
BOM_AuditTrail|Notes|nvarchar|YES|255
BOMHeader|BOMID|int|NO|NULL
BOMHeader|ProductID|int|NO|NULL
BOMHeader|VersionNo|int|NO|NULL
BOMHeader|BatchYieldQty|decimal|NO|NULL
BOMHeader|YieldUoM|nvarchar|NO|20
BOMHeader|EffectiveFrom|date|NO|NULL
BOMHeader|EffectiveTo|date|YES|NULL
BOMHeader|IsActive|bit|NO|NULL
BOMHeader|CreatedDate|datetime2|NO|NULL
BOMItems|BOMItemID|int|NO|NULL
BOMItems|BOMID|int|NO|NULL
BOMItems|LineNumber|int|NO|NULL
BOMItems|ComponentType|nvarchar|NO|20
BOMItems|RawMaterialID|int|YES|NULL
BOMItems|ComponentProductID|int|YES|NULL
BOMItems|NonStockDesc|nvarchar|YES|150
BOMItems|QuantityPerBatch|decimal|NO|NULL
BOMItems|UoM|nvarchar|NO|20
BOMItems|Backflush|bit|NO|NULL
BOMItems|ScrapPercent|decimal|YES|NULL
BomTaskStatus|InternalOrderID|int|NO|NULL
BomTaskStatus|ManufacturerUserID|int|YES|NULL
BomTaskStatus|Status|nvarchar|NO|20
BomTaskStatus|UpdatedAtUtc|datetime2|NO|NULL
BomTaskStatus|ManufacturerName|nvarchar|YES|128
BomTaskStatus|ProductID|int|YES|NULL
Branches|BranchID|int|NO|NULL
Branches|BranchName|nvarchar|NO|100
Branches|Prefix|nvarchar|NO|10
Branches|BranchCode|nvarchar|YES|20
