Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
Cost,Whse,Ingredients,Item Description,CATERGORY,item catergory,BARCODE,ITEM DESCRIPTION,,Item Code,Incl Price,,OD200 - Ayesha Centre
0,OD200,,BD Bar One Square 20,exotic,internal,,BD Bar One Square 20,,BD-BAR-020,1800,,OD200 - Ayesha Centre
0,OD200,,Biscuit Choc Chip,biscuit,internal,0,Biscuit Choc Chip,,BIS- CHC-EAC,80,,OD200 - Ayesha Centre
0,OD200,,Biscuit Choc Vanilla 300g,biscuit,internal,0,Biscuit Choc Vanilla 300g,,BIS-BCV-EAC,70,,OD200 - Ayesha Centre
0,OD200,,Biscuit Choc Chip Cookie,biscuit,internal,0,Biscuit Choc Chip Cookie,,BIS-CCC-EAC,70,,OD200 - Ayesha Centre
0,OD200,,Biscuit Choc Delights 300G,biscuit,internal,14079,Biscuit Choc Delights 300G,,BIS-CHD-EAC,95,,OD200 - Ayesha Centre
0,OD200,,Biscuit Jam Nest 300G,biscuits,internal,14067,Biscuit Jam Nest 300G,,BIS-CJN-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit Coconut,biscuit,internal,0,Biscuit Coconut,,BIS-COC-EAC,70,,OD200 - Ayesha Centre
0,OD200,,Biscuit Custard,biscuit,internal,16201,Biscuit Custard,,BIS-CUS-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit Date Roll 300G,biscuit,internal,0,Biscuit Date Roll 300G,,BIS-DAT-EAC,95,,OD200 - Ayesha Centre
0,OD200,,Designer Biscuits 300G,biscuits,internal,14073,Designer Biscuits 300G,,BIS-DEB-EAC,95,,OD200 - Ayesha Centre
0,OD200,,Biscuit Fego 300G,biscuit,internal,16200,Biscuit Fego 300G,,BIS-FEB-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit choc Fingers 300G,biscuit,internal,14068,Biscuit choc Fingers 300G,,BIS-FLF-EAC,95,,OD200 - Ayesha Centre
0,OD200,,Biscuit Horse Shoe 300G,biscuit,internal,14076,Biscuit Horse Shoe 300G,,BIS-HSB-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit Naan Katai 300G,biscuit,internal,16077,Biscuit Naan Katai 300G,,BIS-NAK-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit Pcn & almnd 300G,biscuit,internal,16203,Biscuit Pcn & almnd 300G,,BIS-PAO-EAC,85,,OD200 - Ayesha Centre
0,OD200,,Biscuit Pecan Nut Squares 300G,biscuit,internal,14069,Biscuit Pecan Nut Squares 300G,,BIS-PNS-EAC,85,,OD200 - Ayesha Centre
9.13,OD200,,Candles 10s- Silver,candle,external,0,Candles 10s- Silver,,CAN-CMS-EAC,20,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 0 Gold,candle,external,0,Candle Numeral 0 Gold,,CAN-GOL-000,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 1 Gold,candle,external,0,Candle Numeral 1 Gold,,CAN-GOL-001,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 2 Gold,candle,external,0,Candle Numeral 2 Gold,,CAN-GOL-002,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 3 Gold,candle,external,0,Candle Numeral 3 Gold,,CAN-GOL-003,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 4 Gold,candle,external,0,Candle Numeral 4 Gold,,CAN-GOL-004,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 5 Gold,candle,external,0,Candle Numeral 5 Gold,,CAN-GOL-005,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 6 Gold,candle,external,0,Candle Numeral 6 Gold,,CAN-GOL-006,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 7 Gold,candle,external,0,Candle Numeral 7 Gold,,CAN-GOL-007,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 8 Gold,candle,external,0,Candle Numeral 8 Gold,,CAN-GOL-008,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 9 Gold,candle,external,0,Candle Numeral 9 Gold,,CAN-GOL-009,22,,OD200 - Ayesha Centre
14.38,OD200,,Candle Magic Assorted,candle,external,8004,Candle Magic Assorted,,CAN-MAG-24S,22,,OD200 - Ayesha Centre
8.96,OD200,,Candle Mixed - 24x24,candle,external,8005,Candle Mixed - 24x24,,CAN-MIX-24S,20,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 0 Rainbow,candle,external,8006,Candle Numeral 0 Rainbow,,CAN-RAI-000,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 1 Rainbow,candle,external,8007,Candle Numeral 1 Rainbow,,CAN-RAI-001,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 2 Rainbow,candle,external,8008,Candle Numeral 2 Rainbow,,CAN-RAI-002,13,,OD200 - Ayesha Centre
