Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
Cost,Whse,Ingredients,Item Description,CATERGORY,item catergory,BARCODE,ITEM DESCRIPTION,,Item Code,Incl Price,,OD400 - Umhlanga
0,OD400,,BD Bar One Square 20,exotic,internal,,BD Bar One Square 20,,BD-BAR-020,1600,,OD400 - Umhlanga
0,OD400,,Biscuit Choc Chip,biscuit,internal,0,Biscuit Choc Chip,,BIS- CHC-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Choc Vanilla 300g,biscuit,internal,0,Biscuit Choc Vanilla 300g,,BIS-BCV-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Choc Chip Cookie,biscuit,internal,0,Biscuit Choc Chip Cookie,,BIS-CCC-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Choc Delights 300G,biscuit,internal,14079,Biscuit Choc Delights 300G,,BIS-CHD-EAC,85,,OD400 - Umhlanga
43.4783,OD400,,Biscuit Jam Nest 300G,biscuits,internal,14067,Biscuit Jam Nest 300G,,BIS-CJN-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Coconut,biscuit,internal,0,Biscuit Coconut,,BIS-COC-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Custard,biscuit,internal,16201,Biscuit Custard,,BIS-CUS-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Date Roll 300G,biscuit,internal,0,Biscuit Date Roll 300G,,BIS-DAT-EAC,100,,OD400 - Umhlanga
0,OD400,,Designer Biscuits 300G,biscuits,internal,14073,Designer Biscuits 300G,,BIS-DEB-EAC,100,,OD400 - Umhlanga
0,OD400,,Biscuit Fego 300G,biscuit,internal,16200,Biscuit Fego 300G,,BIS-FEB-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit choc Fingers 300G,biscuit,internal,14068,Biscuit choc Fingers 300G,,BIS-FLF-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Horse Shoe 300G,biscuit,internal,14076,Biscuit Horse Shoe 300G,,BIS-HSB-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Naan Katai 300G,biscuit,internal,16077,Biscuit Naan Katai 300G,,BIS-NAK-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Pcn & almnd 300G,biscuit,internal,16203,Biscuit Pcn & almnd 300G,,BIS-PAO-EAC,85,,OD400 - Umhlanga
0,OD400,,Biscuit Pecan Nut Squares 300G,biscuit,internal,14069,Biscuit Pecan Nut Squares 300G,,BIS-PNS-EAC,85,,OD400 - Umhlanga
0,OD400,,Cafe Late short,drink,internal,,Cafe Late short,,Cafe Late short,28,,OD400 - Umhlanga
0,OD400,,Cafe Late Tall,drink,internal,,Cafe Late Tall,,Cafe Late Tall,33,,OD400 - Umhlanga
0,OD400,,Candles 10s- Silver,candle,external,0,Candles 10s- Silver,,CAN-CMS-EAC,20,,OD400 - Umhlanga
0,OD400,,Candle Numeral 0 Gold,candle,external,0,Candle Numeral 0 Gold,,CAN-GOL-000,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 1 Gold,candle,external,0,Candle Numeral 1 Gold,,CAN-GOL-001,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 2 Gold,candle,external,0,Candle Numeral 2 Gold,,CAN-GOL-002,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 3 Gold,candle,external,0,Candle Numeral 3 Gold,,CAN-GOL-003,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 4 Gold,candle,external,0,Candle Numeral 4 Gold,,CAN-GOL-004,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 5 Gold,candle,external,0,Candle Numeral 5 Gold,,CAN-GOL-005,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 6 Gold,candle,external,0,Candle Numeral 6 Gold,,CAN-GOL-006,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 7 Gold,candle,external,0,Candle Numeral 7 Gold,,CAN-GOL-007,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 8 Gold,candle,external,0,Candle Numeral 8 Gold,,CAN-GOL-008,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 9 Gold,candle,external,0,Candle Numeral 9 Gold,,CAN-GOL-009,22,,OD400 - Umhlanga
0,OD400,,Candle Magic Assorted,candle,external,8004,Candle Magic Assorted,,CAN-MAG-24S,30,,OD400 - Umhlanga
0,OD400,,Magic Candles,candle,external,30714,Magic Candles,,CAN-MCA-EAC,30,,OD400 - Umhlanga
0,OD400,,Candle Mixed - 24x24,candle,external,8005,Candle Mixed - 24x24,,CAN-MIX-24S,30,,OD400 - Umhlanga
0,OD400,,Candle Numeral 0 Rainbow,candle,external,8006,Candle Numeral 0 Rainbow,,CAN-RAI-000,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 1 Rainbow,candle,external,8007,Candle Numeral 1 Rainbow,,CAN-RAI-001,22,,OD400 - Umhlanga
43.5,OD400,,Candle Numeral 2 Rainbow,candle,external,8008,Candle Numeral 2 Rainbow,,CAN-RAI-002,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 4 Rainbow,candle,external,8010,Candle Numeral 4 Rainbow,,CAN-RAI-004,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 5 Rainbow,candle,external,8011,Candle Numeral 5 Rainbow,,CAN-RAI-005,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 6 Rainbow,candle,external,8012,Candle Numeral 6 Rainbow,,CAN-RAI-006,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 7 Rainbow,candle,external,8013,Candle Numeral 7 Rainbow,,CAN-RAI-007,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 8 Rainbow,candle,external,8014,Candle Numeral 8 Rainbow,,CAN-RAI-008,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 9 Rainbow,candle,external,8015,Candle Numeral 9 Rainbow,,CAN-RAI-009,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 0 Silver,candle,external,0,Candle Numeral 0 Silver,,CAN-SIL-000,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 1 Silver,candle,external,0,Candle Numeral 1 Silver,,CAN-SIL-001,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 2 Silver,candle,external,0,Candle Numeral 2 Silver,,CAN-SIL-002,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 3 Silver,candle,external,0,Candle Numeral 3 Silver,,CAN-SIL-003,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 4 Silver,candle,external,0,Candle Numeral 4 Silver,,CAN-SIL-004,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 5 Silver,candle,external,0,Candle Numeral 5 Silver,,CAN-SIL-005,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 6 Silver,candle,external,0,Candle Numeral 6 Silver,,CAN-SIL-006,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 7 Silver,candle,external,0,Candle Numeral 7 Silver,,CAN-SIL-007,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 8 Silver,candle,external,0,Candle Numeral 8 Silver,,CAN-SIL-008,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 9 Silver,candle,external,0,Candle Numeral 9 Silver,,CAN-SIL-009,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 0 White,candle,external,8025,Candle Numeral 0 White,,CAN-WHI-000,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 1 White,candle,external,8016,Candle Numeral 1 White,,CAN-WHI-001,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 2 White,candle,external,8017,Candle Numeral 2 White,,CAN-WHI-002,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 3 White,candle,external,8018,Candle Numeral 3 White,,CAN-WHI-003,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 4 White,candle,external,8019,Candle Numeral 4 White,,CAN-WHI-004,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 5 White,candle,external,8020,Candle Numeral 5 White,,CAN-WHI-005,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 6 White,candle,external,8021,Candle Numeral 6 White,,CAN-WHI-006,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 7 White,candle,external,8022,Candle Numeral 7 White,,CAN-WHI-007,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 8 White,candle,external,8023,Candle Numeral 8 White,,CAN-WHI-008,22,,OD400 - Umhlanga
0,OD400,,Candle Numeral 9 White,candle,external,8024,Candle Numeral 9 White,,CAN-WHI-009,22,,OD400 - Umhlanga
0,OD400,,BD 14'' Buttercream Alphabet Cake,novelty,internal,0,BD 14'' Buttercream Alphabet Cake,,CBA-BAC-014,640,,OD400 - Umhlanga
0,OD400,,BD 16'' Eggless Buttercream Alphabet Cake,novelty,internal,0,BD 16'' Eggless Buttercream Alphabet Cake,,CBA-BEA-016,830,,OD400 - Umhlanga
0,OD400,,BC Birthday Gateaux,buttercream cake,internal,11001,BC Birthday Gateaux,,CBC-BBG-EAC,120,,OD400 - Umhlanga
0,OD400,,Icing Cup Cakes,buttercream cake,internal,30337,Icing Cup Cakes,,CBC-BCC-EAC,20,,OD400 - Umhlanga
0,OD400,,BC Chocolate Delight,buttercream cake,internal,11004,BC Chocolate Delight,,CBC-BCD-EAC,22,,OD400 - Umhlanga
0,OD400,,BC Eggless Vanilla Gateaux,buttercream cake,internal,0,BC Eggless Vanilla Gateaux,,CBC-BCE-EAC,120,,OD400 - Umhlanga
