ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
BIS- CHC-EAC,,Biscuit Choc Chip,14,internal,ea
BIS-ABB-EAC,16001.0,Biscuit Assorted Pure Butter,14,internal,ea
BIS-BCV-EAC,,Biscuit Choc Vanilla 300g,14,internal,ea
BIS-BUB-EAC,14071.0,Biscuit Butter Biscuit,15,internal,ea
BIS-CCC-EAC,,Biscuit Choc Chip Cookie,14,internal,ea
BIS-CHD-EAC,14079.0,Biscuit Choc Delights 300G,14,internal,ea
BIS-CJN-EAC,14067.0,Biscuit Jam Nest 300G,15,internal,ea
BIS-COC-EAC,,Biscuit Coconut,14,internal,ea
BIS-CRU-EACH,14099.0,GLUTEN FREE RUSKS,15,internal,ea
BIS-CUS-EAC,16201.0,Biscuit Custard,14,internal,ea
BIS-DAT-EAC,,Biscuit Date Roll 300G,14,internal,ea
BIS-DEB-EAC,14073.0,Designer Biscuits 300G,15,internal,ea
BIS-FEB-EAC,16200.0,Biscuit Fego 300G,14,internal,ea
BIS-FLF-EAC,14068.0,Biscuit choc Fingers 300G,14,internal,ea
BIS-HSB-EAC,14076.0,Biscuit Horse Shoe 300G,14,internal,ea
BIS-NAK-EAC,16077.0,Biscuit Naan Katai 300G,14,internal,ea
BIS-PAO-EAC,16203.0,Biscuit Pcn & almnd 300G,14,internal,ea
BIS-PNS-EAC,14069.0,Biscuit Pecan Nut Squares 300G,14,internal,ea
BIS-RMC-EAC,16002.0,Biscuit Romany Creams,14,internal,ea
BIS-ROC-EAC,14070.0,Biscuit Romany Creams,14,internal,ea
BIS-SBB-EAC,16006.0,Biscuit Short Bread,15,internal,ea
CAN-CMS-EAC,,Candles 10s- Silver,16,external,ea
CAN-DOU-010,80351.0,Candle Numeral Double,16,external,ea
CAN-DOU-080,8034.0,Candle Numeral Double,16,external,ea
CAN-GOL-000,,Candle Numeral 0 Gold,16,external,ea
CAN-GOL-001,,Candle Numeral 1 Gold,16,external,ea
CAN-GOL-002,,Candle Numeral 2 Gold,16,external,ea
CAN-GOL-003,,Candle Numeral 3 Gold,16,external,ea
CAN-GOL-004,,Candle Numeral 4 Gold,16,external,ea
CAN-GOL-005,,Candle Numeral 5 Gold,16,external,ea
CAN-GOL-006,,Candle Numeral 6 Gold,16,external,ea
CAN-GOL-007,,Candle Numeral 7 Gold,16,external,ea
CAN-GOL-008,,Candle Numeral 8 Gold,16,external,ea
CAN-GOL-009,,Candle Numeral 9 Gold,16,external,ea
CAN-MAG-24S,8004.0,Candle Magic Assorted,16,external,ea
CAN-MCA-EAC,30714.0,Magic Candles,16,external,ea
CAN-MIX-24S,8005.0,Candle Mixed - 24x24,16,external,ea
CAN-RAI-000,8006.0,Candle Numeral 0 Rainbow,16,external,ea
CAN-RAI-001,8007.0,Candle Numeral 1 Rainbow,16,external,ea
CAN-RAI-002,8008.0,Candle Numeral 2 Rainbow,16,external,ea
CAN-RAI-003,8009.0,Candle Numeral 3 Rainbow,16,external,ea
CAN-RAI-004,8010.0,Candle Numeral 4 Rainbow,16,external,ea
CAN-RAI-005,8011.0,Candle Numeral 5 Rainbow,16,external,ea
CAN-RAI-006,8012.0,Candle Numeral 6 Rainbow,16,external,ea
CAN-RAI-007,8013.0,Candle Numeral 7 Rainbow,16,external,ea
CAN-RAI-009,8015.0,Candle Numeral 9 Rainbow,16,external,ea
CAN-SIL-000,,Candle Numeral 0 Silver,16,external,ea
CAN-SIL-001,,Candle Numeral 1 Silver,16,external,ea
CAN-SIL-002,,Candle Numeral 2 Silver,16,external,ea
CAN-SIL-003,,Candle Numeral 3 Silver,16,external,ea
CAN-SIL-004,,Candle Numeral 4 Silver,16,external,ea
CAN-SIL-005,,Candle Numeral 5 Silver,16,external,ea
CAN-SIL-006,,Candle Numeral 6 Silver,16,external,ea
CAN-SIL-007,,Candle Numeral 7 Silver,16,external,ea
CAN-SIL-008,,Candle Numeral 8 Silver,16,external,ea
CAN-SIL-009,,Candle Numeral 9 Silver,16,external,ea
CAN-WHI-000,8025.0,Candle Numeral 0 White,16,external,ea
CAN-WHI-001,8016.0,Candle Numeral 1 White,16,external,ea
CAN-WHI-002,8017.0,Candle Numeral 2 White,16,external,ea
CAN-WHI-003,8018.0,Candle Numeral 3 White,16,external,ea
CAN-WHI-004,8019.0,Candle Numeral 4 White,16,external,ea
CAN-WHI-005,8020.0,Candle Numeral 5 White,16,external,ea
CAN-WHI-006,8021.0,Candle Numeral 6 White,16,external,ea
CAN-WHI-007,8022.0,Candle Numeral 7 White,16,external,ea
CAN-WHI-008,8023.0,Candle Numeral 8 White,16,external,ea
CAN-WHI-009,8024.0,Candle Numeral 9 White,16,external,ea
CBA-BAC-014,,BD 14'' Buttercream Alphabet Cake,17,internal,ea
CBA-BEA-016,,BD 16'' Eggless Buttercream Alphabet Cake,17,internal,ea
CBC-BBG-EAC,11001.0,BC Birthday Gateaux,18,internal,ea
CBC-BCC-EAC,30337.0,Icing Cup Cakes,18,internal,ea
CBC-BCD-EAC,11004.0,BC Chocolate Delight,18,internal,ea
CBC-BCE-EAC,,BC Eggless Vanilla Gateaux,18,internal,ea
CBC-BCG-EAC,11003.0,BC Chocolate Gateaux,18,internal,ea
CBC-BCN-EAC,30339.0,Icing Cup Cakes With Name,18,internal,ea
CBC-BCS-EAC,11005.0,BC Chocolate Slice,18,internal,ea
CBC-BDN-EAC,11016.0,BC Doughnut,18,internal,ea
CBC-BEG-EAC,11040.0,BC Eggless Birthday Gateaux,18,internal,ea
CBC-BET-EAC,11041.0,BC Triple Layer Eggless Drip Gateaux,18,internal,ea
CBC-BRG-EAC,11042.0,BC Smash Choc Rose Pattern Gateaux,18,internal,ea
CBC-BTD-EAC,11096.0,BC Triple Layer Drip Gateaux,18,internal,ea
CBC-CBG-EAC,11097.0,Christmas Buttercream Gateaux,18,internal,ea
CBC-CDB-EAC,15060.0,BC Choc Drip Gateaux,18,internal,ea
CBC-CDN-EAC,11018.0,Chocolate Doughnut,18,internal,ea
CBC-CNL-EAC,11032.0,Coconut Tartlet,19,internal,ea
CBC-CNR-EAC,11030.0,Coconut Ring,18,internal,ea
CBC-CNS-EAC,11008.0,Coconut Slice,18,internal,ea
CBC-CNT-EAC,11031.0,Coconut Tart,18,internal,ea
CBC-CRP-EAC,11034.0,Cream Puff,20,internal,ea
CBC-CUS-EAC,11035.0,Currant Square,18,internal,ea
CBC-EB1-1M,,BD 1MX500 BC Eggless,21,internal,ea
CBC-FLA-EAC,11036.0,Flakey Bits,18,internal,ea
CBC-JAP-EAC,11037.0,Jam Puff,18,internal,ea
CBC-JAT-EAC,11038.0,Jam Tart,18,internal,ea
CBC-JDN-EAC,11019.0,Jam Doughnut,18,internal,ea
CBC-JTO-EAC,11039.0,Jam Turnover,18,internal,ea
CBC-KOE-EAC,11020.0,Koeksuster 1s,18,internal,ea
CBC-LPC-EAC,11009.0,Choc Lamington Plain,18,internal,ea
CBC-LPR-EAC,11010.0,Raspberry Lamington Plain,18,internal,ea
CBC-MBD-EAC,11043.0,Mini Buttercream D/N,22,internal,ea
CBC-MBG-EAC,11098.0,Mothers Day Buttercream Gateaux,18,internal,ea
CBC-MCD-EAC,11044.0,Mini Chocolate D/N,18,internal,ea
CBC-MCL-EAC,,Mini Lamington Chocolate Plain,23,internal,ea
CBC-MEL-40G,11021.0,Melting Moments 40g (Round),24,external,ea
CBC-MEL-60G,11023.0,Melting Moments 60g (Long),18,internal,ea
CBC-MFL-EAC,11045.0,Mini F/BITS,18,internal,ea
CBC-MRL-EAC,,Mini Lamington Raspberry Plain,18,internal,ea
CBC-MSB-EACH,11046.0,Mini S/B,18,internal,ea
CBC-MUE-EAC,11007.0,Muesli Slice,18,internal,ea
CBC-PCC-EAC,30338.0,BD Picture Cup Cakes,25,internal,ea
CBC-QUC-EAC,11011.0,Queen Cakes 1s,18,internal,ea
CBC-SNO-EAC,11013.0,Snowballs 1s,18,internal,ea
CBF-BCF-018,10088.0,BD Buttercream Figure 18,26,internal,ea
CBF-BCF-018,10088.0,BD Buttercream Figure 18,26,internal,ea
CBF-BCF-020,10090.0,BD Buttercream Figure 20,20,internal,ea
CBF-BCF-020,10090.0,BD Buttercream Figure 20,20,internal,ea
CBF-BCK-020,10096.0,BD Buttercream Key,17,internal,ea
CBF-BFE-020,10199.0,BD 20 Buttercream Figure on Base Eggless,20,internal,ea
CBF-BFS-018,10092.0,BD Buttercream Fig on SL 18,26,internal,ea
CBF-BFS-018,10092.0,BD Buttercream Fig on SL 18,26,internal,ea
